wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_capa_0;ask_capa_0
0.2945203360099519;0.2945203360099519;;0;0.0;0.001;0.01175650205948975;50;;;;
0.2945021712802615;0.2945021712802615;;0;0.0;0.001;0.01175650205948975;50;;;;
0.2990176564502684;0.2990176564502684;;0;0.0;0.001;0.01175650205948975;50;;;;
0.29451019197569217;0.29451019197569217;;0;0.0;0.001;0.01175650205948975;50;;;;
0.3282092502180405;0.3282092502180405;;0;0.0;0.001;0.01175650205948975;50;;;;
0.34362750682838045;0.34362750682838045;;0;0.0;0.001;0.01175650205948975;50;;;;
0.35456721988017076;0.35456721988017076;;0;0.0;0.001;0.01175650205948975;50;;;;
0.3491867414534151;0.3491867414534151;;0;0.0;0.001;0.01175650205948975;50;;;;
0.34916969835196243;0.34916969835196243;;0;0.0;0.001;0.01175650205948975;50;;;;
0.3491709658846066;0.3491709658846066;;0;0.0;0.001;0.01175650205948975;50;;;;
0.359308450709088;0.359308450709088;;0;0.0;0.001;0.01175650205948975;50;;;;
0.36936991704971167;0.36936991704971167;;0;0.0;0.001;0.01175650205948975;50;;;;
0.40356783823176867;0.40356783823176867;;0;0.0;0.001;0.01175650205948975;50;;;;
0.4247549206934745;0.4247549206934745;;0;0.0;0.001;0.01175650205948975;50;;;;
0.43476921907922833;0.43476921907922833;;0;0.0;0.001;0.01175650205948975;50;;;;
0.4295341328336535;0.4295341328336535;;0;0.0;0.001;0.01175650205948975;50;;;;
0.4448085590488132;0.4448085590488132;;0;0.0;0.001;0.01175650205948975;50;;;;
0.4395746882675616;0.4395746882675616;;0;0.0;0.001;0.01175650205948975;50;;;;
0.43969412855316303;0.43969412855316303;;0;0.0;0.001;0.01175650205948975;50;;;;
0.45485301738506995;0.45485301738506995;;0;0.0;0.001;0.01175650205948975;50;;;;
0.4648458824186585;0.46484587492475665;0.46484587492475665;0;0.0;0.001;0.011810562072163184;50;0.00019785244393081663;1.4999999999999977e-06;0.4547278704837882;0.4749638793657251
0.44486116803768366;0.44486124294173524;0.4448610954539808;1;-0.009866627542052975;0.0011051709180756478;0.011643663264575197;50;0.00019712097544158206;1.5000000000000005e-06;0.43474477062355477;0.4549774202844068
