wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_optimo;ask_optimo
0.3637602027633764;0.3637602027633764;;0;0.0;0.001;0.006251033835455643;50;;;;
0.3637051977103839;0.3637051977103839;;0;0.0;0.001;0.006251033835455643;50;;;;
0.3473990621186667;0.3473990621186667;;0;0.0;0.001;0.006251033835455643;50;;;;
0.3336292479321605;0.3336292479321605;;0;0.0;0.001;0.006251033835455643;50;;;;
0.33365961688389373;0.33365961688389373;;0;0.0;0.001;0.006251033835455643;50;;;;
0.3236168751301842;0.3236168751301842;;0;0.0;0.001;0.006251033835455643;50;;;;
0.31730707557589416;0.31730707557589416;;0;0.0;0.001;0.006251033835455643;50;;;;
0.3136324266363992;0.3136324266363992;;0;0.0;0.001;0.006251033835455643;50;;;;
0.31358356781774605;0.31358356781774605;;0;0.0;0.001;0.006251033835455643;50;;;;
0.30357183898586987;0.30357183898586987;;0;0.0;0.001;0.006251033835455643;50;;;;
0.29716230192786536;0.29716230192786536;;0;0.0;0.001;0.006251033835455643;50;;;;
0.29352252346948066;0.29352252346948066;;0;0.0;0.001;0.006251033835455643;50;;;;
0.2935130309137673;0.2935130309137673;;0;0.0;0.001;0.006251033835455643;50;;;;
0.29352275035619063;0.29352275035619063;;0;0.0;0.001;0.006251033835455643;50;;;;
0.28701718347793453;0.28701718347793453;;0;0.0;0.001;0.006251033835455643;50;;;;
0.3005774885005285;0.3005774885005285;;0;0.0;0.001;0.006251033835455643;50;;;;
0.29704143640314984;0.29704143640314984;;0;0.0;0.001;0.006251033835455643;50;;;;
0.29354205067760814;0.29354205067760814;;0;0.0;0.001;0.006251033835455643;50;;;;
0.2935439093176665;0.2935439093176665;;0;0.0;0.001;0.006251033835455643;50;;;;
0.29354954660983906;0.29354954660983906;;0;0.0;0.001;0.006251033835455643;50;;;;
0.2935502576031832;0.29355025760264997;0.29355025760264997;0;0.0;0.001;0.006306833809608277;50;1.1892050142882482e-06;1.5000000000000005e-06;0.28348728989394134;0.3036132253113586
0.29057120101603295;0.290571215909517;0.290571215909517;0;0.0;0.001;0.006308538439690168;50;1.189256153190705e-06;2.4999999999999985e-06;0.28050823115467804;0.300634200664356
0.29356881994601214;0.2934988163456309;0.2934988163456309;0;0.0;0.001;0.0055640251727040076;50;1.1669207551811202e-06;1.5000000000000005e-06;0.2834432766490114;0.3035543560422504
0.29714140590199345;0.29712506775290887;0.29712506775290887;0;0.0;0.001;0.005090653136000312;50;1.1527195940800094e-06;2.0000000000000008e-06;0.2870742617293198;0.3071758737764979
0.29069598795212304;0.29089967620563106;0.29089967620563106;0;0.0;0.001;0.005231676780237562;50;1.156950303407127e-06;2.4999999999999985e-06;0.28084745995970184;0.3009518924515603
0.2907314946103526;0.29061908233034844;0.29061908233034844;0;0.0;0.001;0.004983397820203945;50;1.1495019346061183e-06;2.4999999999999985e-06;0.280569348849192;0.3006688158115049
0.3007639390548958;0.3005504780692526;0.3005504780692526;0;0.0;0.001;0.004871867867706378;50;1.1461560360311913e-06;2.500000000000001e-06;0.29050185987646826;0.31059909626203697
0.3236058130845666;0.3234408387953247;0.323440870320103;-1;-0.012841742533287737;0.0011051709180756478;0.005451103068225634;50;1.163533092046769e-06;1.5000000000000005e-06;0.31338647040726714;0.33349527023293885
0.32362669481204837;0.32389788558884935;0.32389794624780605;-1;-0.013298789326812388;0.0011051709180756478;0.007582651379662494;50;1.2274795413898748e-06;1.5000000000000005e-06;0.31382223108742474;0.33397366140818735
0.32732424284339157;0.3272894400077584;0.32728949388316314;-1;-0.016690343745721425;0.0011051709180756478;0.0071663650148179655;50;1.2149909504445388e-06;2.0000000000000008e-06;0.31721794154042426;0.337361046225902
0.3336896554026654;0.3336535659781411;0.3336536164862637;-1;-0.023054469716104142;0.0011051709180756478;0.006959179167985576;50;1.2087753750395674e-06;1.5000000000000005e-06;0.32358413597909585;0.3437230969934315
0.3610964960484378;0.3606789313864881;0.3606790411623063;-2;-0.06703566951750772;0.00122140275816017;0.00692225626327666;50;1.2076676878982997e-06;2.500000000000001e-06;0.3506099415834684;0.3707481407411442
0.3637141052328015;0.3639845400576407;0.3639847184078756;-2;-0.07364688685981291;0.00122140275816017;0.008850018839468565;50;1.265500565184057e-06;1.5000000000000005e-06;0.35389634143872944;0.37407309537702177
0.3574229512587845;0.35758873302993294;0.3575889088255493;-2;-0.0608552728043974;0.00122140275816017;0.008811436378079764;50;1.264343091342393e-06;2.0000000000000008e-06;0.34750091767630464;0.3676768999747939
0.3574275547293656;0.35733920535342756;0.3573393798457279;-2;-0.06035621745138664;0.00122140275816017;0.00880477152565023;50;1.2641431457695068e-06;2.0000000000000008e-06;0.3472514553441935;0.3674273043472623
0.3637577550599088;0.3636800881891093;0.363680250874366;-2;-0.07303798312275012;0.00122140275816017;0.008527622241341707;50;1.2558286672402512e-06;1.5000000000000005e-06;0.35359509783182413;0.3737654039169079
0.3637023990299589;0.36377197967914293;0.3637721370518118;-2;-0.07322176610281739;0.00122140275816017;0.008414402835866091;50;1.2524320850759826e-06;1.5000000000000005e-06;0.35368811618949625;0.3738561579141273
0.36369487282332846;0.3636990567782291;0.3636992086260613;-2;-0.07307592030098975;0.00122140275816017;0.008294366862892128;50;1.2488310058867638e-06;1.5000000000000005e-06;0.3536163881088145;0.3737820291433081
0.3571783374515083;0.3572777600038404;0.3572779108569403;-2;-0.06023332675221227;0.00122140275816017;0.008296136587388505;50;1.248884097621655e-06;2.0000000000000008e-06;0.3471950726426647;0.36736074907121585
0.357186225938721;0.35709334172526885;0.3570935014695779;-2;-0.05986449019506923;0.00122140275816017;0.008566188514256938;50;1.2569856554277082e-06;2.0000000000000008e-06;0.3470079627690173;0.3671790401701385
0.3535775910743121;0.3536126123619336;0.35361277117725787;-2;-0.0529030314683987;0.00122140275816017;0.008570101711677183;50;1.2571030513503154e-06;1.5000000000000005e-06;0.34352719334520104;0.3636983490093147
0.35359307007081464;0.3535546966521292;0.35355485458139135;-2;-0.052787200048789895;0.00122140275816017;0.008590292640958114;50;1.2577087792287434e-06;1.5000000000000005e-06;0.34346907484250777;0.36364063432027494
0.36361832240168596;0.3635005789116474;0.3635007370469739;-2;-0.0726789645678263;0.00122140275816017;0.008623238216623488;50;1.2586971464987046e-06;1.5000000000000005e-06;0.3534146278563576;0.3735868462375902
0.3736711654985105;0.37366480955363823;0.3736649710275117;-2;-0.09300742585180799;0.00122140275816017;0.008755638084793505;50;1.262669142543805e-06;1.5000000000000005e-06;0.36357753785438485;0.3837524042006386
0.3672567848936263;0.3675090017970903;0.36750915473024726;-2;-0.08069581033871209;0.00122140275816017;0.008560829976255187;50;1.2568248992876555e-06;2.0000000000000008e-06;0.3574236696144122;0.3775946398460823
