wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_capa_0;ask_capa_0;bid_capa_1;ask_capa_1;bid_capa_2;ask_capa_2
0.8034682357411617;0.8034682357411617;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8123815945443016;0.8123815945443016;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8369471143143294;0.8369471143143294;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8371069894528179;0.8371069894528179;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8274311900496916;0.8274311900496916;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.821519194008034;0.821519194008034;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8114796385855115;0.8114796385855115;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8115204569962318;0.8115204569962318;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8114231754849763;0.8114231754849763;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8157005824578825;0.8157005824578825;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8056995071757463;0.8056995071757463;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8157658079271154;0.8157658079271154;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8316582942080551;0.8316582942080551;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8475783632264767;0.8475783632264767;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8559327205963945;0.8559327205963945;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8560907884449741;0.8560907884449741;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8621696057769851;0.8621696057769851;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8440540152529833;0.8440540152529833;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8441487636895374;0.8441487636895374;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8180493536038669;0.8180493536038669;;0;0.0;0.5;0.011233744244348589;50;;;;;;;;
0.8079868044988733;0.8079870507389476;0.8079870507389476;0;0.0;0.5;0.012015183105843286;50;1.1201518310584327e-06;4.8943112840740904e-05;0.797917164838615;0.8180569366392803;0.787917164838615;0.8280569366392803;0.777917164838615;0.8380569366392803
0.8483519179148178;0.8483474763680179;0.8629561331024411;-2;-0.05058107945747525;0.6107013790800849;0.012085013284137682;50;1.1208501328413768e-06;4.894311284074102e-05;0.8528965924222156;0.8730156737826666;0.8428965924222156;0.8830156737826667;0.8328965924222156;0.8930156737826667
0.8722056269916181;0.8739907085892605;0.8909061696432801;-2;-0.10186754389996056;0.6107013790800849;0.0141320437644575;50;1.1413204376445748e-06;3.915449027259281e-05;0.8808262826619828;0.9009860566245773;0.8708262826619828;0.9109860566245773;0.8608262826619828;0.9209860566245773
0.8319936861156526;0.8439025360076375;0.8357765773754003;1;-0.12246243869975038;0.5525854590378239;0.015195858735635677;50;1.1519585873563567e-06;3.915449027259281e-05;0.825680307109912;0.8458728476408887;0.815680307109912;0.8558728476408887;0.805680307109912;0.8658728476408887
0.8420628290725919;0.840373927556995;0.8315904501228277;1;-0.1259910471503929;0.5525854590378239;0.0166328251921681;50;1.166328251921681e-06;3.915449027259281e-05;0.8214798890172196;0.8417010112284359;0.8114798890172196;0.8517010112284359;0.8014798890172196;0.8617010112284359
0.8582189401054447;0.8533670823086223;0.8447725113452308;1;-0.11299789239876556;0.5525854590378239;0.016590159780456044;50;1.1659015978045603e-06;4.894311284074102e-05;0.8346623745533389;0.8548826481371227;0.8246623745533389;0.8648826481371227;0.8146623745533389;0.8748826481371227
0.856056050524012;0.8566326670128187;0.8482772277396177;1;-0.10973230769456921;0.5525854590378239;0.016581266299051965;50;1.1658126629905196e-06;2.9365867704444603e-05;0.8381671793946901;0.8583872760845452;0.8281671793946901;0.8683872760845452;0.8181671793946901;0.8783872760845453
0.8242084425924584;0.8336751669779927;0.8254099164319787;1;-0.1326898077293952;0.5525854590378239;0.01657475228119193;50;1.1657475228119191e-06;5.873173540888912e-05;0.8152999328699049;0.8355198999940525;0.8052999328699049;0.8455198999940525;0.7952999328699049;0.8555198999940525
0.8581291083512862;0.8510080171777189;0.8510080171777189;0;-0.1308450747133354;0.5;0.017513624381083663;50;1.1751362438108365e-06;4.894311284074102e-05;0.8408834199675209;0.8611326143879169;0.8308834199675209;0.8711326143879169;0.8208834199675209;0.8811326143879169
0.7176740921645847;0.743987430338106;0.7130946932071999;3;-0.3915330436015805;0.6749294037880016;0.01787440760664393;50;1.1787440760664394e-06;4.894311284074102e-05;0.7029840364305543;0.7232053499838454;0.6929840364305543;0.7332053499838455;0.6829840364305543;0.7432053499838455
0.7429203647017486;0.7278747027822179;0.676304934581226;3;-0.4398712262692448;0.6749294037880016;0.03016528960054704;50;1.3016528960054705e-06;5.8731735408889226e-05;0.6660721911420275;0.6865376780204244;0.6560721911420275;0.6965376780204244;0.6460721911420275;0.7065376780204244
0.7574759260939282;0.7467253528568512;0.7467253528568512;0;-0.5338823005546249;0.5;0.03012352554101352;50;1.301235255410135e-06;4.894311284074102e-05;0.7364752829580861;0.7569754227556162;0.726475282958086;0.7669754227556163;0.716475282958086;0.7769754227556163
0.751603995618533;0.7511153331595173;0.7511153331595173;0;-0.5338823005546249;0.5;0.03023660415224771;50;1.302366041522477e-06;3.915449027259281e-05;0.740864138091158;0.7613665282278765;0.730864138091158;0.7713665282278765;0.720864138091158;0.7813665282278766
