wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_estimada;Q;R;bid_capa_0;ask_capa_0;bid_capa_1;ask_capa_1;bid_capa_2;ask_capa_2
0.689999061445933;0.689999061445933;;0;0.0;0.3;0.01;40;;;;;;;;
0.6950240132929261;0.6950240132929261;;0;0.0;0.3;0.01;40;;;;;;;;
0.6950247780864106;0.6950247780864106;;0;0.0;0.3;0.01;40;;;;;;;;
0.6950211788276973;0.6950211788276973;;0;0.0;0.3;0.01;40;;;;;;;;
0.6950121532005841;0.6950121532005841;;0;0.0;0.3;0.01;40;;;;;;;;
0.7101454031996212;0.7101454031996212;;0;0.0;0.3;0.01;40;;;;;;;;
0.7200751074139574;0.7200751074139574;;0;0.0;0.3;0.01;40;;;;;;;;
0.7400872425950977;0.7400872425950977;;0;0.0;0.3;0.01;40;;;;;;;;
0.7349715699146561;0.7349715699146561;;0;0.0;0.3;0.01;40;;;;;;;;
0.750036586876529;0.750036586876529;;0;0.0;0.3;0.01;40;;;;;;;;
0.7601831666745531;0.7601831666745531;;0;0.0;0.3;0.01;40;;;;;;;;
0.7601854637681758;0.7601854637681758;;0;0.0;0.3;0.01;40;;;;;;;;
0.7552943543504372;0.7552943543504372;;0;0.0;0.3;0.01;40;;;;;;;;
0.7552613480706615;0.7552613480706615;;0;0.0;0.3;0.01;40;;;;;;;;
0.7651098857913563;0.7651098857913563;;0;0.0;0.3;0.01;40;;;;;;;;
0.7651205663834206;0.7651205663834206;;0;0.0;0.3;0.01;40;;;;;;;;
0.7651227819671887;0.7651227819671887;;0;0.0;0.3;0.01;40;;;;;;;;
0.7651247372010862;0.7651247372010862;;0;0.0;0.3;0.01;40;;;;;;;;
0.7651488193799133;0.7651488193799133;;0;0.0;0.3;0.01;40;;;;;;;;
0.7854644414297812;0.7854644414297812;;0;0.0;0.3;0.01;40;;;;;;;;
0.7903087076935553;0.7903087028494563;0.7903087028494563;0;0.0;0.3;0.007825080262277687;40;6.704764162847404e-05;2.0000000000000008e-06;0.777757896258565;0.8028595094403477;0.774757896258565;0.8058595094403477;0.771757896258565;0.8088595094403477
0.7751026000844572;0.7751026529593027;0.7751026529593027;0;0.0;0.3;0.007825183724762938;40;6.70477059633729e-05;1.5000000000000005e-06;0.762551845079956;0.7876534608386494;0.759551845079956;0.7906534608386494;0.756551845079956;0.7936534608386494
0.755358475335023;0.7554360201275712;0.7554360201275712;0;0.0;0.3;0.008988335737537413;40;6.777097553221758e-05;2.500000000000001e-06;0.7428707270997259;0.7680013131554164;0.7398707270997259;0.7710013131554164;0.7368707270997259;0.7740013131554164
0.7553434423818003;0.7549565884060836;0.7549565884060836;0;0.0;0.3;0.010430686665717705;40;6.866785618280368e-05;2.500000000000001e-06;0.742373333265675;0.7675398435464922;0.739373333265675;0.7705398435464922;0.736373333265675;0.7735398435464922
0.790295943896758;0.7893517756183881;0.7894786777624462;-3;-0.05643579621568762;0.40495764227280096;0.01043878122616563;40;6.867288953113722e-05;2.0000000000000008e-06;0.7769116998718655;0.8020456556530269;0.7739116998718655;0.8050456556530269;0.7709116998718655;0.8080456556530269
0.785398648405162;0.7855143860065403;0.7856871186763839;-3;-0.044923627380144104;0.40495764227280096;0.012318875973826903;40;6.984196743548143e-05;2.500000000000001e-06;0.7730967577668959;0.7982774795858718;0.7700967577668959;0.8012774795858718;0.7670967577668959;0.8042774795858718
0.7804959478715072;0.7806426210542455;0.7808144404763127;-3;-0.030308332523259818;0.40495764227280096;0.012363515598226642;40;6.98697251847166e-05;3.0000000000000018e-06;0.7682235243771554;0.79340535657547;0.7652235243771554;0.79640535657547;0.7622235243771553;0.79940535657547
0.7802677528649253;0.7802469225569836;0.7804028309380034;-3;-0.029121237031473957;0.40495764227280096;0.011846254908675453;40;6.95480828612686e-05;2.0000000000000008e-06;0.7678183480872229;0.792987313788784;0.7648183480872229;0.795987313788784;0.7618183480872229;0.798987313788784
