wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;Q;R;bid_capa_0;ask_capa_0;bid_capa_1;ask_capa_1;bid_capa_2;ask_capa_2
0.49999954965768056;0.49999954965768056;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.4999995495301481;0.4999995495301481;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5000004092287689;0.5000004092287689;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050006815981666;0.5050006815981666;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5049998592666491;0.5049998592666491;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050043393119592;0.5050043393119592;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050186928200965;0.5050186928200965;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.505031242086177;0.505031242086177;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050418557416513;0.5050418557416513;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050420837894305;0.5050420837894305;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050422475018403;0.5050422475018403;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050427013973615;0.5050427013973615;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5050532223675137;0.5050532223675137;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5150582614922272;0.5150582614922272;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.515062039273284;0.515062039273284;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5150658928525235;0.5150658928525235;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5250954549169671;0.5250954549169671;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5250960952417767;0.5250960952417767;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5250951051299355;0.5250951051299355;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5250970860359194;0.5250970860359194;;0;0.0;0.3;0.002338160730490953;;;;;;;;
0.5350704253283373;0.5350704001194462;0.5350704001194462;0;0.0;0.3;0.003183381003789154;2.401264278305095e-06;5.055274725060806e-06;0.48564890150095463;0.5844918987379377;0.48264890150095463;0.5874918987379377;0.4796489015009546;0.5904918987379377
0.5350782415859896;0.5350782919224288;0.5350782919224288;0;0.0;0.3;0.003702263225489484;2.4133396079899283e-06;5.055274725060806e-06;0.48563123074230746;0.5845253531025502;0.48263123074230746;0.5875253531025502;0.47963123074230746;0.5905253531025502
0.535078392272233;0.5350794944033249;0.5350794944033249;0;0.0;0.3;0.0037020791140441526;2.4133353233829247e-06;5.055274725060806e-06;0.48563244229339325;0.5845265465132566;0.48263244229339325;0.5875265465132566;0.47963244229339325;0.5905265465132566
0.5350792888791208;0.5350802381033963;0.5350802381033963;0;0.0;0.3;0.0036457833785890847;2.41202521959243e-06;5.055274725060806e-06;0.4856359593843169;0.5845245168224757;0.4826359593843169;0.5875245168224758;0.4796359593843169;0.5905245168224758
