wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_capa_0;ask_capa_0;bid_capa_1;ask_capa_1;bid_capa_2;ask_capa_2
0.5500783835573194;0.5500783835573194;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.5551237636732723;0.5551237636732723;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.5551225471746647;0.5551225471746647;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.5500662338147283;0.5500662338147283;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.55510784658649;0.55510784658649;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.5100076862269403;0.5100076862269403;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4849558067631735;0.4849558067631735;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4748651269608508;0.4748651269608508;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4548287695624867;0.4548287695624867;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4548205332768939;0.4548205332768939;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4549337883205274;0.4549337883205274;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4599395297091114;0.4599395297091114;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4699542895962645;0.4699542895962645;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.46993158126909845;0.46993158126909845;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4698487872768902;0.4698487872768902;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.47995506064447335;0.47995506064447335;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4949952928005869;0.4949952928005869;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.49499631467543;0.49499631467543;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.49499425594901136;0.49499425594901136;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4899819532016888;0.4899819532016888;;0;0.0;1e-05;0.013597689573417232;50;;;;;;;;
0.4698497711722108;0.46984978727711696;0.46984978727711696;0;0.0;1e-05;0.013630648594018547;50;0.00010264589013575993;1.5999999999999987e-06;0.4597134818101426;0.4799860927440913;0.4497134818101426;0.48998609274409133;0.4397134818101426;0.49998609274409134
0.46497097720677205;0.4649709637264409;0.4649709637264409;0;0.0;1e-05;0.013987419189716497;50;0.00010296817145530534;1.2999999999999984e-06;0.4548310905538682;0.4751108368990136;0.4448310905538682;0.48511083689901363;0.4348310905538682;0.49511083689901364
0.4398652871382992;0.43998291256329564;0.4399827646856755;1;-0.014848177990572586;1.1051709180756478e-05;0.013947416960906706;50;0.00010293203627140558;1.6000000000000006e-06;0.42984329163629736;0.4501222377350536;0.41984329163629736;0.4601222377350536;0.40984329163629735;0.4701222377350536
0.44487542854364237;0.4446957726266007;0.44469561958988657;1;-0.010135317927267518;1.1051709180756478e-05;0.014662628046523405;50;0.00010357810737481344;1.9000000000000007e-06;0.4345489944304425;0.45484224474933066;0.4245489944304425;0.46484224474933067;0.41454899443044246;0.4748422447493307
0.4598838960941368;0.45973961894584114;0.45973946891790174;1;0.004908528391972922;1.1051709180756478e-05;0.01465001988861451;50;0.00010356671805681216;1.5999999999999987e-06;0.44959296984002284;0.46988596799578064;0.43959296984002283;0.47988596799578065;0.4295929698400228;0.48988596799578066
0.46490967115658083;0.46491199123802684;0.4649118697754741;1;0.010080900684158622;1.1051709180756478e-05;0.012093408893786853;50;0.00010125725652911679;1.899999999999999e-06;0.4547909368047189;0.47503280274622933;0.4447909368047189;0.48503280274622934;0.43479093680471886;0.49503280274622935
0.42479066018913264;0.42518168832825104;0.4251813148862495;3;-0.07886789917855297;1.3498588075760033e-05;0.01097788599941807;50;0.00010024957205423182;1.9000000000000007e-06;0.4150715373872773;0.4352910923852217;0.4050715373872773;0.4452910923852217;0.3950715373872773;0.4552910923852217
0.4348205412319023;0.4345795905344502;0.43457913374469853;3;-0.05067419255995542;1.3498588075760033e-05;0.013874754917499392;50;0.00010286639852123066;1.9000000000000007e-06;0.42444038756044544;0.4447178799289516;0.41444038756044543;0.45471787992895163;0.4044403875604454;0.46471787992895164
0.4348342557010028;0.4347979763263955;0.4347975456204599;3;-0.05001903518411943;1.3498588075760033e-05;0.013480727425985982;50;0.00010251046195741804;1.9000000000000007e-06;0.4246627397105915;0.44493235153032834;0.4146627397105915;0.45493235153032835;0.40466273971059147;0.46493235153032836
0.4298732867250225;0.4298957169631313;0.4298952961900914;3;-0.06472581327391214;1.3498588075760033e-05;0.01348175802899305;50;0.00010251139293127365;1.6000000000000006e-06;0.4197604799741943;0.44003011240598855;0.4097604799741943;0.45003011240598856;0.3997604799741943;0.46003011240598857
0.3997837650862016;0.3999754889284683;0.39997488177938867;4;-0.17427148842362716;1.4918246976412705e-05;0.013505403708806433;50;0.00010253275276581075;1.5999999999999987e-06;0.3898398292578921;0.4101099343008852;0.3798398292578921;0.4201099343008852;0.3698398292578921;0.43010993430088523
0.41980549848125864;0.41953987171881746;0.41953922347782274;4;-0.0960139572622305;1.4918246976412705e-05;0.0148313920554002;50;0.00010373055684270243;1.6000000000000006e-06;0.4093909110748431;0.4296875358808024;0.3993909110748431;0.4396875358808024;0.3893909110748431;0.4496875358808024
0.3846291041376288;0.3849392359630762;0.38493833154524976;5;-0.2588681753969624;1.6487212707001284e-05;0.015419367149179086;50;0.00010426169195127882;1.9000000000000007e-06;0.3747841395483974;0.3950925235421021;0.3647841395483974;0.4050925235421021;0.3547841395483974;0.41509252354210213
0.36466310923087414;0.3646887855204212;0.3646878204237097;5;-0.36012042761023744;1.6487212707001284e-05;0.016964605138994757;50;0.00010565755064696326;1.9000000000000007e-06;0.3545181760495076;0.37485746479791177;0.3445181760495076;0.3848574647979118;0.33451817604950757;0.3948574647979118
0.34457792845720503;0.34458888066083426;0.3445879375650013;5;-0.4606199519081722;1.6487212707001284e-05;0.0172846057718177;50;0.00010594661658301605;1.899999999999999e-06;0.3344150931849987;0.3547607819450039;0.32441509318499867;0.3647607819450039;0.31441509318499866;0.3747607819450039
0.3448626337019122;0.34475106433313796;0.34475015366746825;5;-0.4598090335466538;1.6487212707001284e-05;0.017161578112531398;50;0.00010583548209813003;1.2999999999999984e-06;0.33457853956385564;0.35492176777108086;0.32457853956385563;0.3649217677710809;0.3145785395638556;0.3749217677710809
