wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_capa_0;ask_capa_0
0.39484660152467993;0.39484660152467993;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.38969010644857993;0.38969010644857993;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.38969093638522595;0.38969093638522595;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.38458095379479634;0.38458095379479634;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3948597302039459;0.3948597302039459;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.39486090450509825;0.39486090450509825;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3647716965780141;0.3647716965780141;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.36474622450982097;0.36474622450982097;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3647358133492614;0.3647358133492614;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.35472183150051356;0.35472183150051356;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3595074244866536;0.3595074244866536;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3447137197471378;0.3447137197471378;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.34472968423384837;0.34472968423384837;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3346865764458549;0.3346865764458549;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3447235048219975;0.3447235048219975;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.33944402662612666;0.33944402662612666;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.33471659098736434;0.33471659098736434;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3246801185545502;0.3246801185545502;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.33471495689679687;0.33471495689679687;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3447140206033241;0.3447140206033241;;0;0.0;0.3;0.0044683559056792515;50;;;;
0.3748760399869967;0.3748744801771803;0.3748744801771803;0;0.0;0.3;0.009805233133093111;50;1.2941569939927931e-06;0.00010343415503483802;0.3648066013689058;0.38494235898545476
0.37975464687635013;0.3797574581993955;0.3797574581993955;0;0.0;0.3;0.012205473552492943;50;1.3661642065747882e-06;0.00013791220671311737;0.36966564870740065;0.38984926769139033
0.3948762941781072;0.3934877431329478;0.39353622115619746;-1;-0.003638475441557487;0.3315512754226943;0.012270420127502934;50;1.3681126038250882e-06;0.00010343415503483802;0.3834469312769983;0.4036255110353966
0.38492084911532354;0.39038126050563277;0.39043161781178365;-1;-0.0005319928142424324;0.3315512754226943;0.012616046281554221;50;1.3784813884466265e-06;0.00010343415503483802;0.380338883079916;0.4005243525436513
0.3947658494894184;0.39478436771930936;0.39483263858727824;-1;-0.004935100027919026;0.3315512754226943;0.012420790161867175;50;1.372623704856015e-06;0.00017239025839139654;0.38474184997134264;0.40492342720321384
0.39980494477392015;0.39952161956626386;0.39956950200507135;-1;-0.00967235187487353;0.3315512754226943;0.012464026542544006;50;1.37392079627632e-06;0.00013791220671311718;0.38947828245253097;0.40966072155761174
0.3848440649579897;0.3934587035961335;0.39349068164986506;-1;-0.0036094359047431634;0.3315512754226943;0.010273145845642885;50;1.3081943753692865e-06;0.00010343415503483802;0.38342129858488994;0.4035600647148402
0.36481550327694623;0.38079354379011104;0.38079354379011104;0;0.0064279691065003974;0.3;0.010417942803547924;50;1.3125382841064376e-06;0.00010343415503483802;0.3707195561932262;0.39086753138699587
0.35474019839890075;0.3685900781603448;0.36855702298725584;1;0.00429849107361896;0.3315512754226943;0.01088785417218417;50;1.3266356251655252e-06;0.00010343415503483802;0.35848151313009724;0.37863253284441445
0.35477083988329816;0.3605901422078042;0.3605570014857203;1;-0.0037014448789216003;0.3315512754226943;0.011013043203598747;50;1.3303912961079624e-06;0.00010343415503483802;0.35048024387064786;0.3706337591007927
0.3447242639282971;0.3513438098903533;0.35127049287452494;2;-0.012084211176667026;0.36642082744805093;0.01113461461049051;50;1.3340384383147152e-06;0.00010343415503483783;0.3411960167834663;0.3613449689655836
0.34948932214065503;0.34683191717712547;0.3467644283203386;2;-0.02110799660312268;0.36642082744805093;0.010809358236523476;50;1.3242807470957042e-06;0.00013791220671311718;0.33669319293285754;0.35683566370781966
0.3447071846800806;0.34272084333743613;0.3426566105114367;2;-0.029330144282501358;0.36642082744805093;0.010863846827788293;50;1.3259154048336486e-06;0.00010343415503483783;0.33258483222491725;0.35272838879795615
0.3446717236015652;0.3403871474137911;0.3403268980533371;2;-0.033997536129791395;0.36642082744805093;0.010650703866213012;50;1.3195211159863905e-06;0.00010343415503483783;0.3302572434243795;0.3503965526822947
0.32468110028798897;0.3314368710716231;0.33134306299643085;3;-0.05071846116688383;0.40495764227280096;0.010418673076214557;50;1.3125601922864366e-06;0.00010343415503483802;0.3212795743430678;0.3414065516497939
0.32465964930280533;0.32540849699243707;0.3253143623713249;3;-0.06880358340444204;0.40495764227280096;0.010543833358119556;50;1.3163150007435865e-06;0.00010343415503483802;0.31524962715640237;0.3353790975862474
0.3346982128328595;0.32556213577721055;0.3254694296962049;3;-0.06834266705012149;0.40495764227280096;0.010575749517505676;50;1.3172724855251703e-06;0.00010343415503483802;0.3154043766052213;0.3355344827871885
