wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;Q;R;bid_capa_0;ask_capa_0;bid_capa_1;ask_capa_1;bid_capa_2;ask_capa_2
0.5049673381207131;0.5049673381207131;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049659627496612;0.5049659627496612;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049659281697682;0.5049659281697682;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4999332620841547;0.4999332620841547;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4999346730489869;0.4999346730489869;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049671365583098;0.5049671365583098;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4999336262188262;0.4999336262188262;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4999315954828071;0.4999315954828071;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.49496718474100837;0.49496718474100837;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.494967713311684;0.494967713311684;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4949425774796763;0.4949425774796763;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4949327083361646;0.4949327083361646;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4949327906906933;0.4949327906906933;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4949341314687313;0.4949341314687313;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.4949339985460658;0.4949339985460658;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049674955976586;0.5049674955976586;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049676776800596;0.5049676776800596;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049676441189204;0.5049676441189204;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049677416880763;0.5049677416880763;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.504978135213541;0.504978135213541;;0;0.0;0.3;0.0026796716487958354;;;;;;;;
0.5049780217553628;0.5049780217555697;0.5049780217555697;0;0.0;0.3;0.003255011695264756;4.821317429689271e-06;3.6482945251482263e-06;0.4883401562614582;0.5216158872496812;0.4853401562614582;0.5246158872496812;0.4823401562614582;0.5276158872496812
0.5049781520352896;0.5049781520339252;0.5049781520339252;0;0.0;0.3;0.003255011667802696;4.821317428406976e-06;3.6482945251482263e-06;0.48834028654026906;0.5216160175275812;0.48534028654026906;0.5246160175275812;0.48234028654026906;0.5276160175275812
0.5049828784364645;0.5049823635162906;0.5049823635162906;0;0.0;0.3;0.003255011666226829;4.821317428333394e-06;3.6482945251482263e-06;0.4883444980226606;0.5216202290099206;0.4853444980226606;0.5246202290099206;0.4823444980226606;0.5276202290099206
0.5049820944199153;0.5049825761553682;0.5049825761553682;0;0.0;0.3;0.003031739612178571;4.81089211891672e-06;3.6482945251482263e-06;0.4883484133797517;0.5216167389309848;0.4853484133797517;0.5246167389309848;0.4823484133797517;0.5276167389309848
0.5049821514896592;0.5049825468244346;0.5049825468244346;0;0.0;0.3;0.0030317451229076708;4.810892376230857e-06;3.6482945251482263e-06;0.48834838395742874;0.5216167096914404;0.48534838395742874;0.5246167096914404;0.48234838395742874;0.5276167096914404
0.5049823161191604;0.5049825723137298;0.5049825723137298;0;0.0;0.3;0.0028158714856821422;4.800812523324176e-06;3.6482945251482263e-06;0.4883519894702454;0.5216131551572142;0.4853519894702454;0.5246131551572142;0.4823519894702454;0.5276131551572142
0.5049820420237987;0.5049823007528687;0.5049823007528687;0;0.0;0.3;0.002554414360202735;4.788604226840607e-06;3.6482945251482263e-06;0.48835605388422165;0.5216085476215157;0.48535605388422165;0.5246085476215157;0.48235605388422165;0.5276085476215157
0.5049813565021024;0.5049816427774694;0.5049816427774694;0;0.0;0.3;0.00255440468489695;4.7886037750686326e-06;3.6482945251482263e-06;0.4883553960692765;0.5216078894856622;0.4853553960692765;0.5246078894856622;0.4823553960692765;0.5276078894856622
0.5049820371165179;0.5049819520417423;0.5049819520417423;0;0.0;0.3;0.0022406945927614208;4.773955615039884e-06;3.6482945251482263e-06;0.4883609078655641;0.5216029962179206;0.4853609078655641;0.5246029962179206;0.48236090786556407;0.5276029962179206
0.5049806655096439;0.5049809788403415;0.5049809788403415;0;0.0;0.3;0.0022406973056912464;4.773955741715536e-06;3.6482945251482263e-06;0.4883599346191723;0.5216020230615107;0.4853599346191723;0.5246020230615107;0.4823599346191723;0.5276020230615107
